Fecha,Producto,Categoría,Cantidad,Precio,Ciudad
28/05/2026,Router WiFi,Redes,8,241.50,Moquegua
19/06/2026,Impresora Multifunción,Impresoras,14,1150.00,Moquegua
16/05/2026,Impresora A,Impresoras,3,780.00,Arequipa
29/05/2026,Disco SSD 2TB,Almacenamiento,11,690.00,Moquegua
03/06/2026,Laptop C,Computadoras,17,4100.00,Juliaca
22/05/2026,Switch 8P,Redes,13,310.00,Moquegua
12/01/2026,USB 64GB,Almacenamiento,19,49.50,Tacna
20/04/2026,Switch 8P,Redes,10,310.00,Puno
08/08/2026,Laptop C,Computadoras,10,4100.00,Puno
11/03/2026,Webcam HD,Accesorios,14,180.50,Arequipa
16/03/2026,Monitor 27,Computadoras,5,1125.00,Tacna
01/06/2026,Audífonos Pro,Accesorios,7,275.00,Moquegua
10/04/2026,PC Gamer X,Computadoras,11,4680.00,Cusco
20/07/2026,Laptop B,Computadoras,13,3360.00,Puno
04/07/2026,Router WiFi,Redes,1,230.00,Puno
08/07/2026,USB 128GB,Almacenamiento,18,75.00,Arequipa
07/08/2026,Impresora Multifunción,Impresoras,18,1035.00,Trujillo
06/04/2026,Laptop B,Computadoras,18,3360.00,Lima
16/04/2026,Impresora Multifunción,Impresoras,16,1150.00,Moquegua
10/05/2026,Switch 8P,Redes,19,325.50,Trujillo
02/01/2026,Laptop B,Computadoras,18,3520.00,Tacna
29/07/2026,Webcam HD,Accesorios,1,199.50,Moquegua
10/08/2026,Router WiFi,Redes,9,218.50,Trujillo
24/02/2026,Impresora Multifunción,Impresoras,6,1150.00,Lima
09/07/2026,Laptop C,Computadoras,20,4100.00,Puno
17/02/2026,Monitor 24,Computadoras,10,765.00,Tacna
17/01/2026,Webcam HD,Accesorios,15,171.00,Moquegua
19/04/2026,USB 128GB,Almacenamiento,5,71.25,Puno
18/02/2026,USB 64GB,Almacenamiento,13,47.25,Moquegua
14/08/2026,Impresora Multifunción,Impresoras,20,1265.00,Juliaca
13/08/2026,Mouse X,Accesorios,1,50.00,Arequipa
09/07/2026,Webcam HD,Accesorios,16,180.50,Moquegua
28/04/2026,Webcam HD,Accesorios,4,199.50,Juliaca
24/02/2026,Laptop B,Computadoras,4,3200.00,Cusco
06/04/2026,Disco SSD 1TB,Almacenamiento,10,342.00,Tacna
20/02/2026,Laptop C,Computadoras,8,4510.00,Cusco
27/05/2026,Impresora A,Impresoras,1,858.00,Trujillo
04/08/2026,Monitor 24,Computadoras,10,850.00,Arequipa
19/03/2026,Teclado K1,Accesorios,20,126.00,Juliaca
25/06/2026,Router WiFi,Redes,18,230.00,Arequipa
17/02/2026,Impresora Multifunción,Impresoras,6,1207.50,Lima
07/03/2026,Router WiFi,Redes,5,207.00,Cusco
10/08/2026,Teclado K1,Accesorios,7,126.00,Lima
01/04/2026,PC Gamer X,Computadoras,6,5720.00,Trujillo
16/04/2026,USB 64GB,Almacenamiento,4,42.75,Cusco
06/03/2026,PC Gamer X,Computadoras,17,4680.00,Juliaca
12/02/2026,Monitor 24,Computadoras,8,850.00,Puno
08/05/2026,Disco SSD 1TB,Almacenamiento,1,380.00,Moquegua
26/02/2026,Cable UTP,Redes,8,27.50,Trujillo
26/06/2026,Webcam HD,Accesorios,7,190.00,Moquegua
24/04/2026,Disco SSD 2TB,Almacenamiento,10,690.00,Tacna
26/04/2026,Disco SSD 1TB,Almacenamiento,8,380.00,Moquegua
29/04/2026,USB 64GB,Almacenamiento,19,42.75,Moquegua
23/07/2026,Monitor 27,Computadoras,4,1312.50,Cusco
01/05/2026,USB 64GB,Almacenamiento,20,49.50,Cusco
15/07/2026,Teclado K1,Accesorios,15,132.00,Lima
29/05/2026,Switch 8P,Redes,8,310.00,Cusco
13/01/2026,Disco SSD 2TB,Almacenamiento,12,690.00,Arequipa
27/01/2026,Impresora A,Impresoras,4,702.00,Juliaca
09/05/2026,Impresora Multifunción,Impresoras,18,1035.00,Puno
20/03/2026,Monitor 27,Computadoras,13,1125.00,Trujillo
08/03/2026,Monitor 27,Computadoras,1,1250.00,Tacna
19/05/2026,Impresora A,Impresoras,11,780.00,Juliaca
30/07/2026,Monitor 24,Computadoras,11,850.00,Tacna
03/08/2026,Router WiFi,Redes,15,218.50,Puno
05/06/2026,Laptop B,Computadoras,17,3360.00,Puno
11/04/2026,Impresora A,Impresoras,7,780.00,Lima
29/05/2026,Laptop C,Computadoras,1,3895.00,Lima
15/06/2026,Teclado K1,Accesorios,20,126.00,Moquegua
16/01/2026,PC Gamer X,Computadoras,17,5200.00,Puno
01/07/2026,Disco SSD 2TB,Almacenamiento,12,759.00,Cusco
10/06/2026,Cable UTP,Redes,19,23.75,Tacna
28/03/2026,Mouse X,Accesorios,16,55.00,Puno
01/05/2026,Cable UTP,Redes,10,27.50,Moquegua
25/07/2026,Monitor 24,Computadoras,5,850.00,Cusco
18/07/2026,Router WiFi,Redes,13,207.00,Lima
07/03/2026,Router WiFi,Redes,19,207.00,Cusco
19/06/2026,Audífonos Pro,Accesorios,16,262.50,Puno
15/01/2026,Monitor 24,Computadoras,6,850.00,Lima
30/03/2026,Disco SSD 2TB,Almacenamiento,10,690.00,Puno
20/02/2026,PC Gamer X,Computadoras,9,4680.00,Puno
03/08/2026,Switch 8P,Redes,8,325.50,Tacna
08/07/2026,Laptop C,Computadoras,19,4510.00,Moquegua
21/02/2026,Monitor 27,Computadoras,4,1375.00,Puno
06/01/2026,Mouse Gamer,Accesorios,5,162.00,Arequipa
03/01/2026,Switch 8P,Redes,9,310.00,Juliaca
10/08/2026,Webcam HD,Accesorios,13,190.00,Puno
28/07/2026,Monitor 27,Computadoras,8,1312.50,Trujillo
27/03/2026,USB 64GB,Almacenamiento,17,45.00,Juliaca
11/05/2026,USB 128GB,Almacenamiento,17,75.00,Moquegua
20/02/2026,USB 128GB,Almacenamiento,1,75.00,Cusco
16/07/2026,Router WiFi,Redes,18,218.50,Puno
12/04/2026,Audífonos Pro,Accesorios,15,275.00,Trujillo
16/02/2026,Cable UTP,Redes,2,27.50,Puno
08/07/2026,Monitor 27,Computadoras,14,1187.50,Tacna
12/01/2026,Switch 8P,Redes,2,310.00,Puno
21/07/2026,Impresora Multifunción,Impresoras,20,1207.50,Arequipa
02/05/2026,Laptop C,Computadoras,20,4100.00,Arequipa
26/07/2026,Mouse X,Accesorios,2,50.00,Tacna
30/01/2026,Monitor 24,Computadoras,1,807.50,Tacna
01/03/2026,Laptop C,Computadoras,8,4305.00,Juliaca
13/08/2026,Laptop A,Computadoras,17,2750.00,Juliaca
30/01/2026,Router WiFi,Redes,15,253.00,Lima
02/01/2026,Mouse X,Accesorios,18,45.00,Arequipa
20/06/2026,Laptop B,Computadoras,15,3520.00,Tacna
08/07/2026,Mouse Gamer,Accesorios,16,171.00,Lima
18/08/2026,USB 64GB,Almacenamiento,12,49.50,Juliaca
04/05/2026,Monitor 24,Computadoras,16,850.00,Trujillo
01/05/2026,Mouse Gamer,Accesorios,20,198.00,Tacna
04/04/2026,Cable UTP,Redes,7,25.00,Juliaca
09/08/2026,Switch 8P,Redes,6,310.00,Moquegua
24/02/2026,Router WiFi,Redes,3,253.00,Puno
21/05/2026,Cable UTP,Redes,3,25.00,Juliaca
28/03/2026,Teclado K1,Accesorios,5,120.00,Tacna
10/03/2026,Webcam HD,Accesorios,9,190.00,Cusco
17/08/2026,Disco SSD 2TB,Almacenamiento,7,690.00,Juliaca
13/02/2026,USB 64GB,Almacenamiento,4,40.50,Lima
02/07/2026,Switch 8P,Redes,19,279.00,Puno
09/01/2026,Switch 8P,Redes,3,294.50,Puno
19/07/2026,Router WiFi,Redes,4,230.00,Trujillo
14/07/2026,USB 128GB,Almacenamiento,7,71.25,Tacna
08/03/2026,Audífonos Pro,Accesorios,17,275.00,Trujillo
04/05/2026,Laptop C,Computadoras,8,4100.00,Cusco
17/01/2026,Laptop B,Computadoras,4,3360.00,Lima
05/04/2026,Disco SSD 2TB,Almacenamiento,19,690.00,Cusco
12/03/2026,Laptop B,Computadoras,15,3200.00,Tacna
20/06/2026,Switch 8P,Redes,1,310.00,Juliaca
